location-long,location-lat,date,time
-78.7267904,42.7554976,11/13/2021,18:58:53
-78.7269568,42.7555744,11/13/2021,21:58:56
-78.7267072,42.7555328,11/14/2021,0:58:09
-78.7272192,42.7567584,11/14/2021,12:58:33
-78.7251072,42.75616,11/14/2021,15:58:25
-78.7231872,42.7594912,11/15/2021,15:59:01
-78.7255232,42.7559424,11/16/2021,15:58:25
-78.694144,42.7442432,11/19/2021,15:58:18
-78.690176,42.7394624,11/20/2021,12:58:35
-78.6932352,42.7438048,11/20/2021,15:57:56
-78.6868736,42.7483488,11/21/2021,12:58:19
-78.6877312,42.7505792,11/21/2021,15:57:55
-78.6879296,42.7514848,11/21/2021,18:58:00
-78.6780224,42.74896,11/22/2021,15:58:32
-78.6922944,42.7497408,11/23/2021,12:58:55
-78.6920256,42.749664,11/23/2021,15:58:49
-78.6910656,42.7500928,11/26/2021,12:57:56
-78.6870272,42.7503968,11/26/2021,15:58:49
-78.6840576,42.7482976,11/27/2021,12:58:32
-78.6847104,42.751328,11/29/2021,12:58:01
-78.685056,42.7518944,11/29/2021,15:58:01
-78.6840064,42.748288,11/30/2021,9:58:19
-78.6858496,42.7513728,11/30/2021,12:57:55
-78.6844864,42.7489024,11/30/2021,15:58:01
-78.6844736,42.74888,11/30/2021,18:57:55
-78.6843328,42.7489664,11/30/2021,21:58:01
-78.6844416,42.7488736,12/1/2021,0:58:09
-78.6807808,42.7477952,12/1/2021,9:58:01
-78.6876224,42.7493024,12/1/2021,15:58:02
-78.6887744,42.7470048,12/4/2021,12:59:06
-78.6851456,42.7484736,12/5/2021,12:58:01
-78.6876736,42.7492672,12/5/2021,15:59:33
-78.6463936,42.770112,12/8/2021,12:57:31
-78.6431552,42.7645248,12/8/2021,15:57:49
-78.6540608,42.7570496,12/9/2021,15:58:03
-78.6614144,42.7583232,12/10/2021,15:58:02
-78.6617728,42.758288,12/12/2021,12:58:29
-78.6489536,42.7512704,12/12/2021,15:58:39
-78.648928,42.7523424,12/12/2021,18:59:04
-78.6486656,42.7524096,12/12/2021,21:58:47
-78.6488512,42.7515072,12/13/2021,15:58:02
-78.644128,42.751008,12/17/2021,12:58:20
-78.6505152,42.7522432,12/17/2021,15:58:50
-78.6492288,42.7526976,12/18/2021,12:58:39
-78.6451776,42.7552448,12/20/2021,12:59:04
-78.6436736,42.7569376,12/20/2021,15:59:43
-78.6431424,42.7568576,12/21/2021,12:57:50
-78.6431808,42.7555136,12/21/2021,15:58:10
-78.64416,42.7656512,12/22/2021,15:58:44
-78.6416256,42.7586048,12/24/2021,12:58:08
-78.6414784,42.7584448,12/24/2021,15:58:31
-78.6419904,42.759904,12/25/2021,12:58:02
-78.6461312,42.7571296,12/26/2021,12:57:31
-78.652128,42.7534944,12/26/2021,15:58:01
-78.6902912,42.7608224,12/28/2021,12:57:56
-78.692352,42.7595776,12/28/2021,15:59:01
-78.670976,42.7591904,12/30/2021,12:57:41
-78.6712576,42.7651968,12/30/2021,15:58:49
-78.6417536,42.7584576,12/31/2021,15:57:56
-78.63904,42.7584064,12/31/2021,18:58:02
-78.639136,42.7584224,1/1/2022,0:58:32
-78.6423872,42.7598656,1/1/2022,9:58:25
-78.6379456,42.7604032,1/1/2022,15:58:07
-78.6362944,42.75728,1/2/2022,12:57:56
-78.632768,42.761696,1/2/2022,15:58:11
-78.6944832,42.7587936,1/3/2022,15:58:20
-78.6479936,42.7657536,1/3/2022,18:58:49
-78.6474176,42.7656352,1/4/2022,0:58:31
-78.6477184,42.765712,1/4/2022,3:58:22
-78.642304,42.7583136,1/4/2022,9:57:56
-78.6445952,42.7593728,1/4/2022,12:58:31
-78.6444544,42.7594048,1/4/2022,15:58:30
-78.6468096,42.7457696,1/5/2022,15:57:55
-78.6820096,42.7585664,1/6/2022,12:58:02
-78.6741568,42.7666976,1/6/2022,15:57:56
-78.6766208,42.7708672,1/6/2022,21:59:20
-78.6764928,42.77064,1/7/2022,0:58:03
-78.6766784,42.770848,1/7/2022,3:58:26
-78.6558592,42.7633824,1/7/2022,12:57:49
-78.6544448,42.758624,1/7/2022,15:58:25
-78.6359168,42.764832,1/10/2022,12:57:31
-78.6463104,42.774608,1/10/2022,15:58:01
-78.6378624,42.7564096,1/11/2022,12:58:32
-78.64112,42.7643456,1/11/2022,15:58:25
-78.6435264,42.7597184,1/11/2022,18:58:19
-78.6367808,42.766384,1/12/2022,9:58:01
-78.6443328,42.7618944,1/12/2022,12:58:00
-78.6477504,42.7592736,1/13/2022,12:58:01
-78.6353856,42.7617888,1/13/2022,15:58:20
-78.6403264,42.7588288,1/13/2022,18:58:47
-78.6349248,42.7640448,1/14/2022,12:58:01
-78.6338432,42.7634848,1/14/2022,15:58:11
-78.6413248,42.7568736,1/15/2022,12:58:07
-78.6418304,42.7578272,1/15/2022,15:58:00
-78.6434944,42.75952,1/15/2022,18:58:01
-78.6434624,42.7596128,1/15/2022,21:58:12
-78.6435072,42.7595776,1/16/2022,0:58:00
-78.640448,42.7558752,1/16/2022,9:58:01
-78.6354496,42.7582208,1/16/2022,12:57:50
-78.6315712,42.7588224,1/16/2022,15:58:49
-78.6392192,42.758864,1/16/2022,18:58:20
-78.6392448,42.7586592,1/16/2022,21:58:01
-78.639168,42.7587424,1/17/2022,0:57:39
-78.6393152,42.7587168,1/17/2022,3:59:01
-78.6390912,42.7586304,1/17/2022,6:58:36
-78.6370688,42.7558848,1/17/2022,9:58:31
-78.64176,42.7552352,1/17/2022,12:58:31
-78.6418816,42.7553152,1/17/2022,15:58:55
-78.6438848,42.7553952,1/17/2022,18:58:12
-78.6434304,42.7553536,1/17/2022,21:58:44
-78.6359552,42.7651936,1/18/2022,12:58:18
-78.6358208,42.7653184,1/18/2022,15:58:01
-78.636064,42.7662688,1/18/2022,18:58:13
-78.6363904,42.7662304,1/18/2022,21:59:01
-78.6420992,42.7600416,1/19/2022,15:58:26
-78.641408,42.7579904,1/20/2022,12:58:31
-78.6414656,42.7649856,1/20/2022,15:57:56
-78.6351488,42.7574432,1/20/2022,21:58:39
-78.6363968,42.7673408,1/21/2022,12:57:50
-78.63392,42.7691616,1/21/2022,15:58:48
-78.6354432,42.7691104,1/21/2022,18:57:49
-78.6354112,42.7690688,1/21/2022,21:58:00
-78.6354048,42.7692288,1/22/2022,0:58:33
-78.635392,42.769104,1/22/2022,3:58:31
-78.6362368,42.7684416,1/22/2022,9:58:01
-78.6335744,42.7691968,1/22/2022,12:57:49
-78.6352256,42.7689728,1/22/2022,15:58:01
-78.6353152,42.7690848,1/22/2022,18:58:01
-78.6350528,42.7692896,1/22/2022,21:58:31
-78.6352896,42.7691008,1/23/2022,12:58:31
-78.6351872,42.775504,1/24/2022,12:58:09
-78.637152,42.7777792,1/24/2022,15:58:00
-78.6368256,42.7787232,1/25/2022,9:58:31
-78.6362432,42.7809856,1/25/2022,12:57:55
-78.6399296,42.781104,1/25/2022,15:58:31
-78.6372544,42.7778208,1/25/2022,21:58:01
-78.6360832,42.7789728,1/26/2022,9:58:02
-78.635712,42.7776608,1/26/2022,12:58:01
-78.6372224,42.7788032,1/26/2022,15:58:19
-78.637856,42.777968,1/26/2022,21:59:32
-78.6377536,42.7780128,1/27/2022,3:59:01
-78.6373952,42.7786112,1/27/2022,9:59:38
-78.6392768,42.778656,1/27/2022,12:58:31
-78.6354816,42.7789856,1/27/2022,15:58:01
-78.6347328,42.7780672,1/27/2022,18:57:55
-78.637728,42.7805504,1/28/2022,12:57:58
-78.6349824,42.7787744,1/28/2022,15:58:12
-78.6334656,42.7699136,1/28/2022,18:58:09
-78.633344,42.7700352,1/29/2022,12:57:56
-78.6332224,42.769488,1/29/2022,15:57:52
-78.63312,42.7695584,1/29/2022,21:58:47
-78.6330816,42.769664,1/30/2022,6:59:38
-78.6336896,42.7695488,1/30/2022,9:57:54
-78.6317952,42.7690176,1/30/2022,12:58:01
-78.6345088,42.7693824,1/30/2022,15:57:48
-78.6354752,42.7692512,1/30/2022,18:59:08
-78.6352,42.7690912,1/30/2022,21:58:03
-78.6352704,42.7693248,1/31/2022,3:59:31
-78.6352128,42.7689472,1/31/2022,6:58:07
-78.6332864,42.7695488,1/31/2022,9:58:15
-78.63664,42.7666144,1/31/2022,12:57:38
-78.644288,42.7956288,1/31/2022,15:58:31
-78.642432,42.7942656,1/31/2022,18:58:01
-78.642432,42.7944992,1/31/2022,21:58:25
-78.6424128,42.7942656,2/1/2022,0:58:01
-78.6423808,42.794336,2/1/2022,6:58:25
-78.6489408,42.7949024,2/1/2022,9:58:01
-78.6449152,42.7947168,2/1/2022,12:57:39
-78.6490048,42.7975232,2/1/2022,15:57:55
-78.64256,42.792064,2/1/2022,18:58:00
-78.642336,42.7917504,2/1/2022,21:59:10
-78.642112,42.7918144,2/2/2022,0:59:33
-78.642464,42.7918784,2/2/2022,3:58:19
-78.642496,42.7919264,2/2/2022,6:57:55
-78.6471936,42.7970592,2/2/2022,9:58:25
-78.651456,42.7939072,2/2/2022,12:57:38
-78.6530688,42.7942912,2/2/2022,15:58:00
-78.6527424,42.7946464,2/2/2022,18:58:36
-78.6524288,42.7951648,2/2/2022,21:58:45
-78.6527424,42.7945024,2/3/2022,0:58:30
-78.6528,42.7945824,2/3/2022,3:59:25
-78.652704,42.7948288,2/3/2022,6:58:36
-78.6511488,42.796112,2/3/2022,9:57:55
-78.6521472,42.7962848,2/3/2022,12:57:51
-78.6531136,42.7962304,2/3/2022,15:58:01
-78.6526592,42.7961856,2/4/2022,6:58:09
-78.6554432,42.7928192,2/4/2022,9:58:01
-78.6565184,42.7908864,2/4/2022,12:58:01
-78.6556864,42.7928512,2/4/2022,15:58:26
-78.6559424,42.7928864,2/4/2022,18:58:01
-78.6559808,42.7927424,2/4/2022,21:58:46
-78.656224,42.7926208,2/5/2022,0:59:19
-78.654496,42.7956704,2/5/2022,9:58:25
-78.6390784,42.7883712,2/5/2022,12:57:39
-78.6381888,42.787536,2/5/2022,15:58:19
-78.6361024,42.7854464,2/5/2022,18:58:31
-78.636096,42.7853696,2/5/2022,21:57:55
-78.6360576,42.7855616,2/6/2022,0:58:09
-78.6361152,42.7854336,2/6/2022,3:58:09
-78.6362048,42.7859232,2/6/2022,6:59:31
-78.6360256,42.7836608,2/6/2022,9:57:58
-78.6391936,42.7883008,2/6/2022,12:57:55
-78.6401344,42.7848448,2/6/2022,15:57:48
-78.6369472,42.7843936,2/6/2022,21:58:55
-78.6356352,42.7841536,2/7/2022,15:59:28
-78.636384,42.7846912,2/7/2022,21:58:32
